group_id,file,dataset,label,split,decision,keep_file,exclude_file,reason
1,datasets/raw/Cotton/healthy/h192.jpg,Cotton,healthy,raw,KEEP,datasets/raw/Cotton/healthy/h192.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
1,datasets/raw/Cotton/healthy/h194.jpg,Cotton,healthy,raw,EXCLUDE,datasets/raw/Cotton/healthy/h192.jpg,datasets/raw/Cotton/healthy/h194.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
1,datasets/raw/Cotton/healthy/h195.jpg,Cotton,healthy,raw,EXCLUDE,datasets/raw/Cotton/healthy/h192.jpg,datasets/raw/Cotton/healthy/h195.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
2,datasets/raw/Banana/AugmentedSet/healthy/130_aug.jpeg,Banana,healthy,raw,KEEP,datasets/raw/Banana/AugmentedSet/healthy/130_aug.jpeg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
2,datasets/raw/Banana/AugmentedSet/healthy/150_aug.jpeg,Banana,healthy,raw,EXCLUDE,datasets/raw/Banana/AugmentedSet/healthy/130_aug.jpeg,datasets/raw/Banana/AugmentedSet/healthy/150_aug.jpeg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
2,datasets/raw/Banana/AugmentedSet/healthy/151_aug.jpeg,Banana,healthy,raw,EXCLUDE,datasets/raw/Banana/AugmentedSet/healthy/130_aug.jpeg,datasets/raw/Banana/AugmentedSet/healthy/151_aug.jpeg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
3,datasets/raw/Cotton/healthy/h394.jpg,Cotton,healthy,raw,KEEP,datasets/raw/Cotton/healthy/h394.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
3,datasets/raw/Cotton/healthy/h401.jpg,Cotton,healthy,raw,EXCLUDE,datasets/raw/Cotton/healthy/h394.jpg,datasets/raw/Cotton/healthy/h401.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
3,datasets/raw/Cotton/healthy/h4201.jpg,Cotton,healthy,raw,EXCLUDE,datasets/raw/Cotton/healthy/h394.jpg,datasets/raw/Cotton/healthy/h4201.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
4,datasets/raw/Cotton/curl_virus/curl0.jpg,Cotton,curl_virus,raw,KEEP,datasets/raw/Cotton/curl_virus/curl0.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
4,datasets/raw/Cotton/curl_virus/curl45 - Copy.jpg,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl0.jpg,datasets/raw/Cotton/curl_virus/curl45 - Copy.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
4,datasets/raw/Cotton/curl_virus/curl45.jpg,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl0.jpg,datasets/raw/Cotton/curl_virus/curl45.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
5,datasets/raw/Cotton/bacterial_blight/bact439.jpg,Cotton,bacterial_blight,raw,KEEP,datasets/raw/Cotton/bacterial_blight/bact439.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
5,datasets/raw/Cotton/bacterial_blight/bb - Copy.jpg,Cotton,bacterial_blight,raw,EXCLUDE,datasets/raw/Cotton/bacterial_blight/bact439.jpg,datasets/raw/Cotton/bacterial_blight/bb - Copy.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
5,datasets/raw/Cotton/bacterial_blight/bb.jpg,Cotton,bacterial_blight,raw,EXCLUDE,datasets/raw/Cotton/bacterial_blight/bact439.jpg,datasets/raw/Cotton/bacterial_blight/bb.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
6,datasets/raw/Cotton/curl_virus/curl299.jpg,Cotton,curl_virus,raw,KEEP,datasets/raw/Cotton/curl_virus/curl299.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
6,datasets/raw/Cotton/curl_virus/curl379.jpg,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl299.jpg,datasets/raw/Cotton/curl_virus/curl379.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
6,datasets/raw/Cotton/curl_virus/curlvirus1.jpg,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl299.jpg,datasets/raw/Cotton/curl_virus/curlvirus1.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
7,datasets/raw/Cotton/healthy/h277.jpg,Cotton,healthy,raw,KEEP,datasets/raw/Cotton/healthy/h277.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
7,datasets/raw/Cotton/healthy/h341.jpg,Cotton,healthy,raw,EXCLUDE,datasets/raw/Cotton/healthy/h277.jpg,datasets/raw/Cotton/healthy/h341.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
7,datasets/raw/Cotton/healthy/h399.jpg,Cotton,healthy,raw,EXCLUDE,datasets/raw/Cotton/healthy/h277.jpg,datasets/raw/Cotton/healthy/h399.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
8,datasets/raw/Cotton/curl_virus/curl1 (2).jpg,Cotton,curl_virus,raw,KEEP,datasets/raw/Cotton/curl_virus/curl1 (2).jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
8,datasets/raw/Cotton/curl_virus/curl112.jpg,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl1 (2).jpg,datasets/raw/Cotton/curl_virus/curl112.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
8,datasets/raw/Cotton/curl_virus/images.jpg,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl1 (2).jpg,datasets/raw/Cotton/curl_virus/images.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
9,datasets/raw/Cotton/healthy/h388.jpg,Cotton,healthy,raw,KEEP,datasets/raw/Cotton/healthy/h388.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
9,datasets/raw/Cotton/healthy/h498.jpg,Cotton,healthy,raw,EXCLUDE,datasets/raw/Cotton/healthy/h388.jpg,datasets/raw/Cotton/healthy/h498.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
10,datasets/raw/Cotton/curl_virus/curl43.png,Cotton,curl_virus,raw,KEEP,datasets/raw/Cotton/curl_virus/curl43.png,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
10,datasets/raw/Cotton/curl_virus/curl50.png,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl43.png,datasets/raw/Cotton/curl_virus/curl50.png,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
11,datasets/raw/Banana/OriginalSet/healthy/26.jpeg,Banana,healthy,raw,KEEP,datasets/raw/Banana/OriginalSet/healthy/26.jpeg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
11,datasets/raw/Banana/OriginalSet/healthy/56.jpeg,Banana,healthy,raw,EXCLUDE,datasets/raw/Banana/OriginalSet/healthy/26.jpeg,datasets/raw/Banana/OriginalSet/healthy/56.jpeg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
12,datasets/raw/Rice/Leaf Blast/IMG_20231018_143750 - Copy.jpg,Rice,Leaf Blast,raw,KEEP,datasets/raw/Rice/Leaf Blast/IMG_20231018_143750 - Copy.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
12,datasets/raw/Rice/Leaf Blast/IMG_20231018_143750.jpg,Rice,Leaf Blast,raw,EXCLUDE,datasets/raw/Rice/Leaf Blast/IMG_20231018_143750 - Copy.jpg,datasets/raw/Rice/Leaf Blast/IMG_20231018_143750.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
13,datasets/raw/Cotton/healthy/h41.jpg,Cotton,healthy,raw,KEEP,datasets/raw/Cotton/healthy/h41.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
13,datasets/raw/Cotton/healthy/h42.jpg,Cotton,healthy,raw,EXCLUDE,datasets/raw/Cotton/healthy/h41.jpg,datasets/raw/Cotton/healthy/h42.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
14,datasets/raw/Cotton/curl_virus/curl186.jpg,Cotton,curl_virus,raw,KEEP,datasets/raw/Cotton/curl_virus/curl186.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
14,datasets/raw/Cotton/curl_virus/curl190.jpg,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl186.jpg,datasets/raw/Cotton/curl_virus/curl190.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
15,datasets/raw/PlantVillage/Tomato_Late_blight/98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg,PlantVillage,Tomato_Late_blight,raw,KEEP,datasets/raw/PlantVillage/Tomato_Late_blight/98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
15,datasets/raw/PlantVillage/Tomato_Late_blight/c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg,PlantVillage,Tomato_Late_blight,raw,EXCLUDE,datasets/raw/PlantVillage/Tomato_Late_blight/98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg,datasets/raw/PlantVillage/Tomato_Late_blight/c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
16,datasets/raw/PlantDoc/test/Tomato leaf bacterial spot/Tomato leaf bacterial spot (9).jpg,PlantDoc,Tomato leaf bacterial spot,test,EXCLUDE_ALL,,datasets/raw/PlantDoc/test/Tomato leaf bacterial spot/Tomato leaf bacterial spot (9).jpg,Exact duplicate with conflicting source labels. Manual review could not establish a sufficiently reliable label. Exclude from cleaned disease dataset.
16,datasets/raw/PlantDoc/train/Tomato Septoria leaf spot/Tomato Septoria leaf spot (109).jpg,PlantDoc,Tomato Septoria leaf spot,train,EXCLUDE_ALL,,datasets/raw/PlantDoc/train/Tomato Septoria leaf spot/Tomato Septoria leaf spot (109).jpg,Exact duplicate with conflicting source labels. Manual review could not establish a sufficiently reliable label. Exclude from cleaned disease dataset.
17,datasets/raw/Cotton/curl_virus/curl199.jpg,Cotton,curl_virus,raw,KEEP,datasets/raw/Cotton/curl_virus/curl199.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
17,datasets/raw/Cotton/curl_virus/curl204.jpg,Cotton,curl_virus,raw,EXCLUDE,datasets/raw/Cotton/curl_virus/curl199.jpg,datasets/raw/Cotton/curl_virus/curl204.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
18,datasets/raw/PlantVillage/Tomato_healthy/9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG,PlantVillage,Tomato_healthy,raw,KEEP,datasets/raw/PlantVillage/Tomato_healthy/9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
18,datasets/raw/PlantVillage/Tomato_healthy/d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG,PlantVillage,Tomato_healthy,raw,EXCLUDE,datasets/raw/PlantVillage/Tomato_healthy/9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG,datasets/raw/PlantVillage/Tomato_healthy/d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
19,datasets/raw/Cotton/fussarium_wilt/done8.jpg,Cotton,fussarium_wilt,raw,KEEP,datasets/raw/Cotton/fussarium_wilt/done8.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
19,datasets/raw/Cotton/fussarium_wilt/fus57.jpg,Cotton,fussarium_wilt,raw,EXCLUDE,datasets/raw/Cotton/fussarium_wilt/done8.jpg,datasets/raw/Cotton/fussarium_wilt/fus57.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
20,datasets/raw/Mango/Die Back/20211129_161600 (Custom)(1).jpg,Mango,Die Back,raw,KEEP,datasets/raw/Mango/Die Back/20211129_161600 (Custom)(1).jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
20,datasets/raw/Mango/Die Back/20211129_161600 (Custom).jpg,Mango,Die Back,raw,EXCLUDE,datasets/raw/Mango/Die Back/20211129_161600 (Custom)(1).jpg,datasets/raw/Mango/Die Back/20211129_161600 (Custom).jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
21,datasets/raw/PlantVillage/Tomato_Late_blight/48c55974-9fe9-4f4b-94f7-c8cd127d1e05___GHLB_PS Leaf 23.7 Day 13.jpg,PlantVillage,Tomato_Late_blight,raw,KEEP,datasets/raw/PlantVillage/Tomato_Late_blight/48c55974-9fe9-4f4b-94f7-c8cd127d1e05___GHLB_PS Leaf 23.7 Day 13.jpg,,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
21,datasets/raw/PlantVillage/Tomato_Late_blight/bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,PlantVillage,Tomato_Late_blight,raw,EXCLUDE,datasets/raw/PlantVillage/Tomato_Late_blight/48c55974-9fe9-4f4b-94f7-c8cd127d1e05___GHLB_PS Leaf 23.7 Day 13.jpg,datasets/raw/PlantVillage/Tomato_Late_blight/bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,Exact duplicate within the dataset. Retain one deterministic copy and exclude redundant copies.
