group_id,group_size,redundant_files,dataset,subsets,splits,labels,split_leakage,label_conflict,sha256,file,width,height,format,size_bytes
16,2,1,PlantDoc,Main,test|train,Tomato Septoria leaf spot|Tomato leaf bacterial spot,YES,YES,,datasets/raw/PlantDoc/test/Tomato leaf bacterial spot/Tomato leaf bacterial spot (9).jpg,350,260,JPEG,14032
16,2,1,PlantDoc,Main,test|train,Tomato Septoria leaf spot|Tomato leaf bacterial spot,YES,YES,,datasets/raw/PlantDoc/train/Tomato Septoria leaf spot/Tomato Septoria leaf spot (109).jpg,350,260,JPEG,14032
50,2,1,PlantDoc,Main,test|train,Corn Gray leaf spot|Corn leaf blight,YES,YES,,datasets/raw/PlantDoc/test/Corn leaf blight/Corn leaf blight (10).jpg,672,832,JPEG,652989
50,2,1,PlantDoc,Main,test|train,Corn Gray leaf spot|Corn leaf blight,YES,YES,,datasets/raw/PlantDoc/train/Corn Gray leaf spot/Corn Gray leaf spot (20).jpg,672,832,JPEG,652989
54,2,1,Banana,Original,raw,healthy|pestalotiopsis,NO,YES,,datasets/raw/Banana/OriginalSet/healthy/122.jpeg,224,224,JPEG,36114
54,2,1,Banana,Original,raw,healthy|pestalotiopsis,NO,YES,,datasets/raw/Banana/OriginalSet/pestalotiopsis/78.jpeg,224,224,JPEG,36114
68,2,1,PlantDoc,Main,train,Potato leaf early blight|Potato leaf late blight,NO,YES,,datasets/raw/PlantDoc/train/Potato leaf early blight/Potato leaf early blight (14).jpg,832,624,JPEG,216600
68,2,1,PlantDoc,Main,train,Potato leaf early blight|Potato leaf late blight,NO,YES,,datasets/raw/PlantDoc/train/Potato leaf late blight/Potato leaf late blight (11).jpg,832,624,JPEG,216600
97,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,,datasets/raw/PlantDoc/test/Potato leaf late blight/Potato leaf late blight (1).jpg,640,480,JPEG,59758
97,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,,datasets/raw/PlantDoc/train/Potato leaf early blight/Potato leaf early blight (13).jpg,640,480,JPEG,59758
155,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,,datasets/raw/PlantDoc/test/Potato leaf early blight/Potato leaf early blight (2).jpg,2848,2136,JPEG,1477148
155,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,,datasets/raw/PlantDoc/train/Potato leaf late blight/Potato leaf late blight (19).jpg,2848,2136,JPEG,1477148
191,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,,datasets/raw/PlantDoc/test/Potato leaf late blight/Potato leaf late blight (4).jpg,333,500,JPEG,98347
191,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,,datasets/raw/PlantDoc/train/Potato leaf early blight/Potato leaf early blight (24).jpg,333,500,JPEG,98347
197,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,,datasets/raw/PlantDoc/test/Potato leaf late blight/Potato leaf late blight (6).jpg,640,437,JPEG,56066
197,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,,datasets/raw/PlantDoc/train/Potato leaf early blight/Potato leaf early blight (70).jpg,640,437,JPEG,56066
205,2,1,PlantDoc,Main,test|train,Blueberry leaf,YES,NO,,datasets/raw/PlantDoc/test/Blueberry leaf/Blueberry leaf (1).jpg,390,540,JPEG,59840
205,2,1,PlantDoc,Main,test|train,Blueberry leaf,YES,NO,,datasets/raw/PlantDoc/train/Blueberry leaf/Blueberry leaf (49).jpg,390,540,JPEG,59840
220,2,1,PlantDoc,Main,test|train,Corn Gray leaf spot|Corn leaf blight,YES,YES,,datasets/raw/PlantDoc/test/Corn Gray leaf spot/Corn Gray leaf spot (1).jpg,3264,2448,JPEG,1577792
220,2,1,PlantDoc,Main,test|train,Corn Gray leaf spot|Corn leaf blight,YES,YES,,datasets/raw/PlantDoc/train/Corn leaf blight/Corn leaf blight (121).jpg,3264,2448,JPEG,1577792
226,2,1,PlantDoc,Main,test|train,Corn Gray leaf spot|Corn leaf blight,YES,YES,,datasets/raw/PlantDoc/test/Corn leaf blight/Corn leaf blight (7).jpg,1224,1632,JPEG,225240
226,2,1,PlantDoc,Main,test|train,Corn Gray leaf spot|Corn leaf blight,YES,YES,,datasets/raw/PlantDoc/train/Corn Gray leaf spot/Corn Gray leaf spot (12).jpg,1224,1632,JPEG,225240
235,2,1,PlantDoc,Main,test|train,Tomato Septoria leaf spot,YES,NO,,datasets/raw/PlantDoc/test/Tomato Septoria leaf spot/Tomato Septoria leaf spot (9).jpg,1500,1125,JPEG,1178259
235,2,1,PlantDoc,Main,test|train,Tomato Septoria leaf spot,YES,NO,,datasets/raw/PlantDoc/train/Tomato Septoria leaf spot/Tomato Septoria leaf spot (48).jpg,1500,1125,JPEG,1178259
239,2,1,PlantDoc,Main,test|train,Tomato leaf yellow virus,YES,NO,,datasets/raw/PlantDoc/test/Tomato leaf yellow virus/Tomato leaf yellow virus (6).jpg,638,479,JPEG,69933
239,2,1,PlantDoc,Main,test|train,Tomato leaf yellow virus,YES,NO,,datasets/raw/PlantDoc/train/Tomato leaf yellow virus/Tomato leaf yellow virus (63).jpg,638,479,JPEG,69933
