group_id,group_size,redundant_files,datasets,subsets,splits,labels,split_leakage,label_conflict,cross_dataset,files
1,3,2,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h192.jpg || datasets/raw/Cotton/healthy/h194.jpg || datasets/raw/Cotton/healthy/h195.jpg
2,3,2,Banana,Augmented,raw,healthy,NO,NO,NO,datasets/raw/Banana/AugmentedSet/healthy/130_aug.jpeg || datasets/raw/Banana/AugmentedSet/healthy/150_aug.jpeg || datasets/raw/Banana/AugmentedSet/healthy/151_aug.jpeg
3,3,2,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h394.jpg || datasets/raw/Cotton/healthy/h401.jpg || datasets/raw/Cotton/healthy/h4201.jpg
4,3,2,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl0.jpg || datasets/raw/Cotton/curl_virus/curl45 - Copy.jpg || datasets/raw/Cotton/curl_virus/curl45.jpg
5,3,2,Cotton,Main,raw,bacterial_blight,NO,NO,NO,datasets/raw/Cotton/bacterial_blight/bact439.jpg || datasets/raw/Cotton/bacterial_blight/bb - Copy.jpg || datasets/raw/Cotton/bacterial_blight/bb.jpg
6,3,2,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl299.jpg || datasets/raw/Cotton/curl_virus/curl379.jpg || datasets/raw/Cotton/curl_virus/curlvirus1.jpg
7,3,2,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h277.jpg || datasets/raw/Cotton/healthy/h341.jpg || datasets/raw/Cotton/healthy/h399.jpg
8,3,2,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl1 (2).jpg || datasets/raw/Cotton/curl_virus/curl112.jpg || datasets/raw/Cotton/curl_virus/images.jpg
9,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h388.jpg || datasets/raw/Cotton/healthy/h498.jpg
10,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl43.png || datasets/raw/Cotton/curl_virus/curl50.png
11,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/26.jpeg || datasets/raw/Banana/OriginalSet/healthy/56.jpeg
12,2,1,Rice,Main,raw,Leaf Blast,NO,NO,NO,datasets/raw/Rice/Leaf Blast/IMG_20231018_143750 - Copy.jpg || datasets/raw/Rice/Leaf Blast/IMG_20231018_143750.jpg
13,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h41.jpg || datasets/raw/Cotton/healthy/h42.jpg
14,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl186.jpg || datasets/raw/Cotton/curl_virus/curl190.jpg
15,2,1,PlantVillage,Main,raw,Tomato_Late_blight,NO,NO,NO,datasets/raw/PlantVillage/Tomato_Late_blight/98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg || datasets/raw/PlantVillage/Tomato_Late_blight/c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg
16,2,1,PlantDoc,Main,test|train,Tomato Septoria leaf spot|Tomato leaf bacterial spot,YES,YES,NO,datasets/raw/PlantDoc/test/Tomato leaf bacterial spot/Tomato leaf bacterial spot (9).jpg || datasets/raw/PlantDoc/train/Tomato Septoria leaf spot/Tomato Septoria leaf spot (109).jpg
17,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl199.jpg || datasets/raw/Cotton/curl_virus/curl204.jpg
18,2,1,PlantVillage,Main,raw,Tomato_healthy,NO,NO,NO,datasets/raw/PlantVillage/Tomato_healthy/9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG || datasets/raw/PlantVillage/Tomato_healthy/d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG
19,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done8.jpg || datasets/raw/Cotton/fussarium_wilt/fus57.jpg
20,2,1,Mango,Main,raw,Die Back,NO,NO,NO,datasets/raw/Mango/Die Back/20211129_161600 (Custom)(1).jpg || datasets/raw/Mango/Die Back/20211129_161600 (Custom).jpg
21,2,1,PlantVillage,Main,raw,Tomato_Late_blight,NO,NO,NO,datasets/raw/PlantVillage/Tomato_Late_blight/48c55974-9fe9-4f4b-94f7-c8cd127d1e05___GHLB_PS Leaf 23.7 Day 13.jpg || datasets/raw/PlantVillage/Tomato_Late_blight/bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg
22,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done16.jpg || datasets/raw/Cotton/fussarium_wilt/fus153.jpg
23,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl255.jpg || datasets/raw/Cotton/curl_virus/curl258.jpg
24,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done11.jpg || datasets/raw/Cotton/fussarium_wilt/fus116.jpg
25,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl302.jpg || datasets/raw/Cotton/curl_virus/curl382.jpg
26,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h276.jpg || datasets/raw/Cotton/healthy/h398.jpg
27,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl249 - Copy.jpg || datasets/raw/Cotton/curl_virus/curl249.jpg
28,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h294.jpg || datasets/raw/Cotton/healthy/h296.jpg
29,2,1,PlantVillage,Main,raw,Tomato_Late_blight,NO,NO,NO,datasets/raw/PlantVillage/Tomato_Late_blight/1a69b38b-c4eb-42c4-9584-bcb14fb8db0c___GHLB2 Leaf 9011.JPG || datasets/raw/PlantVillage/Tomato_Late_blight/2c47b891-3c97-48f1-a2cc-5aa53d3a1148___GHLB2 Leaf 9011.JPG
30,2,1,Cotton,Main,raw,bacterial_blight,NO,NO,NO,datasets/raw/Cotton/bacterial_blight/bact187.png || datasets/raw/Cotton/bacterial_blight/bact256.png
31,2,1,Cotton,Main,raw,bacterial_blight,NO,NO,NO,datasets/raw/Cotton/bacterial_blight/bact188.png || datasets/raw/Cotton/bacterial_blight/bact257.png
32,2,1,PlantVillage,Main,raw,Tomato_healthy,NO,NO,NO,datasets/raw/PlantVillage/Tomato_healthy/1af0bfe1-4bcf-4b8b-be66-5d0953eb647e___GH_HL Leaf 482.2.JPG || datasets/raw/PlantVillage/Tomato_healthy/cfd491d6-4af5-4728-8f0e-0d330a07174a___GH_HL Leaf 482.2.JPG
33,2,1,Rice,Main,raw,Leaf Blast,NO,NO,NO,datasets/raw/Rice/Leaf Blast/IMG_20231018_143842_1 - Copy.jpg || datasets/raw/Rice/Leaf Blast/IMG_20231018_143842_1.jpg
