dataset,split,class,image_count
Banana,raw,cordana,558
Banana,raw,healthy,482
Banana,raw,pestalotiopsis,572
Banana,raw,sigatoka,873
Cotton,raw,bacterial_blight,432
Cotton,raw,curl_virus,379
Cotton,raw,fussarium_wilt,395
Cotton,raw,healthy,385
Mango,raw,Anthracnose,486
Mango,raw,Bacterial Canker,500
Mango,raw,Cutting Weevil,500
Mango,raw,Die Back,493
Mango,raw,Gall Midge,500
Mango,raw,Healthy,500
Mango,raw,Powdery Mildew,500
Mango,raw,Sooty Mould,500
PlantDoc,test,Apple Scab Leaf,10
PlantDoc,test,Apple leaf,9
PlantDoc,test,Apple rust leaf,10
PlantDoc,test,Bell_pepper leaf,8
PlantDoc,test,Bell_pepper leaf spot,9
PlantDoc,test,Blueberry leaf,11
PlantDoc,test,Cherry leaf,10
PlantDoc,test,Corn Gray leaf spot,3
PlantDoc,test,Corn leaf blight,10
PlantDoc,test,Corn rust leaf,10
PlantDoc,test,Peach leaf,9
PlantDoc,test,Potato leaf early blight,7
PlantDoc,test,Potato leaf late blight,5
PlantDoc,test,Raspberry leaf,7
PlantDoc,test,Soyabean leaf,8
PlantDoc,test,Squash Powdery mildew leaf,6
PlantDoc,test,Strawberry leaf,8
PlantDoc,test,Tomato Early blight leaf,9
PlantDoc,test,Tomato Septoria leaf spot,11
PlantDoc,test,Tomato leaf,8
PlantDoc,test,Tomato leaf bacterial spot,8
PlantDoc,test,Tomato leaf late blight,10
PlantDoc,test,Tomato leaf mosaic virus,10
PlantDoc,test,Tomato leaf yellow virus,6
PlantDoc,test,Tomato mold leaf,6
PlantDoc,test,grape leaf,12
PlantDoc,test,grape leaf black rot,8
PlantDoc,train,Apple Scab Leaf,77
PlantDoc,train,Apple leaf,82
PlantDoc,train,Apple rust leaf,79
PlantDoc,train,Bell_pepper leaf,53
PlantDoc,train,Bell_pepper leaf spot,62
PlantDoc,train,Blueberry leaf,104
PlantDoc,train,Cherry leaf,47
PlantDoc,train,Corn Gray leaf spot,62
PlantDoc,train,Corn leaf blight,179
PlantDoc,train,Corn rust leaf,106
PlantDoc,train,Peach leaf,103
PlantDoc,train,Potato leaf early blight,105
PlantDoc,train,Potato leaf late blight,95
PlantDoc,train,Raspberry leaf,109
PlantDoc,train,Soyabean leaf,57
PlantDoc,train,Squash Powdery mildew leaf,123
PlantDoc,train,Strawberry leaf,88
PlantDoc,train,Tomato Early blight leaf,74
PlantDoc,train,Tomato Septoria leaf spot,135
PlantDoc,train,Tomato leaf,54
PlantDoc,train,Tomato leaf bacterial spot,98
PlantDoc,train,Tomato leaf late blight,101
PlantDoc,train,Tomato leaf mosaic virus,44
PlantDoc,train,Tomato leaf yellow virus,68
PlantDoc,train,Tomato mold leaf,85
PlantDoc,train,grape leaf,57
PlantDoc,train,grape leaf black rot,56
PlantVillage,raw,Pepper__bell___Bacterial_spot,997
PlantVillage,raw,Pepper__bell___healthy,1478
PlantVillage,raw,Potato___Early_blight,1000
PlantVillage,raw,Potato___Late_blight,1000
PlantVillage,raw,Potato___healthy,152
PlantVillage,raw,Tomato_Bacterial_spot,2127
PlantVillage,raw,Tomato_Early_blight,1000
PlantVillage,raw,Tomato_Late_blight,1901
PlantVillage,raw,Tomato_Leaf_Mold,952
PlantVillage,raw,Tomato_Septoria_leaf_spot,1771
PlantVillage,raw,Tomato_Spider_mites_Two_spotted_spider_mite,1676
PlantVillage,raw,Tomato__Target_Spot,1404
PlantVillage,raw,Tomato__Tomato_YellowLeaf__Curl_Virus,3208
PlantVillage,raw,Tomato__Tomato_mosaic_virus,373
PlantVillage,raw,Tomato_healthy,1585
Rice,raw,Bacterial Leaf Blight,632
Rice,raw,Brown Spot,637
Rice,raw,Healthy Rice Leaf,650
Rice,raw,Leaf Blast,619
Rice,raw,Leaf scald,628
Rice,raw,Sheath Blight,628
