dataset,raw_class,image_count,crop,category,canonical_class,decision,reason
Banana,cordana,558,Banana,,,,
Banana,healthy,482,Banana,,,,
Banana,pestalotiopsis,572,Banana,,,,
Banana,sigatoka,873,Banana,,,,
Cotton,bacterial_blight,432,Cotton,,,,
Cotton,curl_virus,379,Cotton,,,,
Cotton,fussarium_wilt,395,Cotton,,,,
Cotton,healthy,385,Cotton,,,,
Mango,Anthracnose,486,Mango,,,,
Mango,Bacterial Canker,500,Mango,,,,
Mango,Cutting Weevil,500,Mango,,,,
Mango,Die Back,493,Mango,,,,
Mango,Gall Midge,500,Mango,,,,
Mango,Healthy,500,Mango,,,,
Mango,Powdery Mildew,500,Mango,,,,
Mango,Sooty Mould,500,Mango,,,,
PlantVillage,Pepper__bell___Bacterial_spot,997,Bell pepper,,,,
PlantVillage,Pepper__bell___healthy,1478,Bell pepper,,,,
PlantVillage,Potato___Early_blight,1000,Potato,,,,
PlantVillage,Potato___Late_blight,1000,Potato,,,,
PlantVillage,Potato___healthy,152,Potato,,,,
PlantVillage,Tomato_Bacterial_spot,2127,Tomato,,,,
PlantVillage,Tomato_Early_blight,1000,Tomato,,,,
PlantVillage,Tomato_Late_blight,1901,Tomato,,,,
PlantVillage,Tomato_Leaf_Mold,952,Tomato,,,,
PlantVillage,Tomato_Septoria_leaf_spot,1771,Tomato,,,,
PlantVillage,Tomato_Spider_mites_Two_spotted_spider_mite,1676,Tomato,,,,
PlantVillage,Tomato__Target_Spot,1404,Tomato,,,,
PlantVillage,Tomato__Tomato_YellowLeaf__Curl_Virus,3208,Tomato,,,,
PlantVillage,Tomato__Tomato_mosaic_virus,373,Tomato,,,,
PlantVillage,Tomato_healthy,1585,Tomato,,,,
Rice,Bacterial Leaf Blight,632,Rice,,,,
Rice,Brown Spot,637,Rice,,,,
Rice,Healthy Rice Leaf,650,Rice,,,,
Rice,Leaf Blast,619,Rice,,,,
Rice,Leaf scald,628,Rice,,,,
Rice,Sheath Blight,628,Rice,,,,
