distance,image_a,image_b,crop_a,crop_b,dataset_a,dataset_b,review_priority
0,datasets\raw\Banana\AugmentedSet\cordana\110_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\65.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\119_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\10.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\128_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\129_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\133_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\88.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\169_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\171_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\173_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\119.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\1_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\45.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\20_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\21_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\211_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\9.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\224_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\30.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\226_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\110.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\229_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\35.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\271_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\31.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\284_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\16.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\292_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\293_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\323_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\12.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\331_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\15.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\360_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\91.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\366_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\4.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\cordana\376_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\83.jpeg,Banana,Banana,augmented,original,HIGH
