distance,image_a,image_b,hash_a,hash_b
0,datasets\raw\Banana\AugmentedSet\cordana\110_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\65.jpeg,a19742dbcd632395,a19742dbcd632395
0,datasets\raw\Banana\AugmentedSet\cordana\119_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\10.jpeg,f6e28327c48bde18,f6e28327c48bde18
0,datasets\raw\Banana\AugmentedSet\cordana\128_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\129_aug.jpeg,eb522354cd22357e,eb522354cd22357e
0,datasets\raw\Banana\AugmentedSet\cordana\133_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\88.jpeg,d52bca6e1a6d3434,d52bca6e1a6d3434
0,datasets\raw\Banana\AugmentedSet\cordana\169_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\171_aug.jpeg,981d2accdce2666b,981d2accdce2666b
0,datasets\raw\Banana\AugmentedSet\cordana\173_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\119.jpeg,e31f3d3961256c49,e31f3d3961256c49
0,datasets\raw\Banana\AugmentedSet\cordana\1_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\45.jpeg,a55a50d5256ada6d,a55a50d5256ada6d
0,datasets\raw\Banana\AugmentedSet\cordana\20_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\21_aug.jpeg,aaab945452eaaacd,aaab945452eaaacd
0,datasets\raw\Banana\AugmentedSet\cordana\211_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\9.jpeg,f0801f3f3f9a3063,f0801f3f3f9a3063
0,datasets\raw\Banana\AugmentedSet\cordana\224_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\30.jpeg,d2c989aaadcdcc64,d2c989aaadcdcc64
0,datasets\raw\Banana\AugmentedSet\cordana\226_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\110.jpeg,a5d5554a4eb5b4a8,a5d5554a4eb5b4a8
0,datasets\raw\Banana\AugmentedSet\cordana\229_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\35.jpeg,eaf10cc1234e9c9f,eaf10cc1234e9c9f
0,datasets\raw\Banana\AugmentedSet\cordana\271_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\31.jpeg,8fe633b08d26ccb2,8fe633b08d26ccb2
0,datasets\raw\Banana\AugmentedSet\cordana\284_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\16.jpeg,8ae2e233739c1f32,8ae2e233739c1f32
0,datasets\raw\Banana\AugmentedSet\cordana\292_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\293_aug.jpeg,8853a35c6f8e4ca7,8853a35c6f8e4ca7
0,datasets\raw\Banana\AugmentedSet\cordana\323_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\12.jpeg,da36c966399e2634,da36c966399e2634
0,datasets\raw\Banana\AugmentedSet\cordana\331_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\15.jpeg,b36e398cb346598c,b36e398cb346598c
0,datasets\raw\Banana\AugmentedSet\cordana\360_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\91.jpeg,bd5e6a95d46a6032,bd5e6a95d46a6032
0,datasets\raw\Banana\AugmentedSet\cordana\366_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\4.jpeg,b5574a4a688de636,b5574a4a688de636
0,datasets\raw\Banana\AugmentedSet\cordana\376_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\83.jpeg,b5027088df70766f,b5027088df70766f
0,datasets\raw\Banana\AugmentedSet\cordana\6_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\8_aug.jpeg,bee65992f29bc0c0,bee65992f29bc0c0
0,datasets\raw\Banana\AugmentedSet\cordana\6_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\1.jpeg,bee65992f29bc0c0,bee65992f29bc0c0
0,datasets\raw\Banana\AugmentedSet\cordana\8_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\1.jpeg,bee65992f29bc0c0,bee65992f29bc0c0
0,datasets\raw\Banana\AugmentedSet\cordana\83_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\90.jpeg,9dec1b84d09acf89,9dec1b84d09acf89
0,datasets\raw\Banana\AugmentedSet\cordana\95_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\107.jpeg,ca36cdeb30cd3298,ca36cdeb30cd3298
0,datasets\raw\Banana\AugmentedSet\healthy\127_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\32.jpeg,f9f1e1e1c1ccc468,f9f1e1e1c1ccc468
0,datasets\raw\Banana\AugmentedSet\healthy\127_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\38.jpeg,f9f1e1e1c1ccc468,f9f1e1e1c1ccc468
0,datasets\raw\Banana\OriginalSet\healthy\32.jpeg,datasets\raw\Banana\OriginalSet\healthy\38.jpeg,f9f1e1e1c1ccc468,f9f1e1e1c1ccc468
0,datasets\raw\Banana\AugmentedSet\healthy\130_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\130_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\130_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\130_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,b9f2caccec2c6238,b9f2caccec2c6238
0,datasets\raw\Banana\AugmentedSet\healthy\136_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\145_aug.jpeg,b90cca32ecd36ac5,b90cca32ecd36ac5
0,datasets\raw\Banana\AugmentedSet\healthy\154_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\37.jpeg,c0c0f3d0fad8be98,c0c0f3d0fad8be98
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,8eb8550f9ab1645d,8eb8550f9ab1645d
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,8eb8550f9ab1645d,8eb8550f9ab1645d
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,8eb8550f9ab1645d,8eb8550f9ab1645d
0,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,8eb8550f9ab1645d,8eb8550f9ab1645d
0,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,8eb8550f9ab1645d,8eb8550f9ab1645d
0,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,8eb8550f9ab1645d,8eb8550f9ab1645d
0,datasets\raw\Banana\AugmentedSet\healthy\190_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\31_aug.jpeg,ead2b2e26ecc90e1,ead2b2e26ecc90e1
0,datasets\raw\Banana\AugmentedSet\healthy\22_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\13.jpeg,8c5ea8b5d827596c,8c5ea8b5d827596c
0,datasets\raw\Banana\AugmentedSet\healthy\22_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\43.jpeg,8c5ea8b5d827596c,8c5ea8b5d827596c
0,datasets\raw\Banana\OriginalSet\healthy\13.jpeg,datasets\raw\Banana\OriginalSet\healthy\43.jpeg,8c5ea8b5d827596c,8c5ea8b5d827596c
0,datasets\raw\Banana\AugmentedSet\healthy\233_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\53.jpeg,8e0f787f07c89a85,8e0f787f07c89a85
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\77_aug.jpeg,9293b5d55a51595a,9293b5d55a51595a
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\23.jpeg,9293b5d55a51595a,9293b5d55a51595a
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\54.jpeg,9293b5d55a51595a,9293b5d55a51595a
