distance,image_a,image_b,sha256_a,sha256_b,exact_duplicate,dataset_a,dataset_b,subset_a,subset_b,crop_a,crop_b
0,datasets\raw\Banana\AugmentedSet\cordana\110_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\65.jpeg,b424d399e2757b6b8c04ad1e49c14cccfbcfebf7081db999248bfa9b5582e6d4,eafe0c27c5c662ba9392320637dae72f6cda29cfb5201469a366c043429e1d96,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\119_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\10.jpeg,3bf9551d4103d95dfff0916241074149d757106f3f0fdc4b9db3277c1cbba2c7,b98cb3f0c0e78f88a6524ddbb39b39d070274de765ef195addcccafa346baca2,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\128_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\129_aug.jpeg,927b16c788e4b5fc93726ecfaeb2124bf8877cdf82d63418701fcda7dce2e76b,927b16c788e4b5fc93726ecfaeb2124bf8877cdf82d63418701fcda7dce2e76b,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\133_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\88.jpeg,78e304e556d85521ebe9851e3e4cead3bd26726a25ca7b68a78344adc70dea01,cf6fae034b3f3332ad7123f8c11a1258acfce07d028ef3be3e92669f8d2026a7,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\169_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\171_aug.jpeg,bf088a664a239d9fc01dff43f2caf2a1a1b76f04889518ceff080b4182134607,bf088a664a239d9fc01dff43f2caf2a1a1b76f04889518ceff080b4182134607,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\173_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\119.jpeg,25eafc25f069e271989652f5f3f928ef4000c3bfdd933be38e5c7286f51ef076,239987e173727ba81f1478441f7b82ac3c107eb4a93168fa302179bc3a71fca9,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\1_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\45.jpeg,8b1ee17c4fb9db3478a91e4ea8539f5f15a728cdba697ca4f7688c17c4d771ba,b5bb7a9669fbcce66fdb2a6cac3d7632cef353643d436942076201413859d7c9,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\20_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\21_aug.jpeg,b10ffd7bac5cb7a3dbba3de6982596656ee46d12669e5cfa2f8d3ad7a6a88ac8,b10ffd7bac5cb7a3dbba3de6982596656ee46d12669e5cfa2f8d3ad7a6a88ac8,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\211_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\9.jpeg,4aaaa58c55b370d2dd12487b4be7c33a1345c16e4521267e9a987b81d5be407c,9e58d6406d5bb793e71fc2a97888a076a60cab1b2ff26c30d2ecb65f0bd2895c,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\224_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\30.jpeg,21970dab3fb582514d3640c32f75363f44db3269282bac7f5c4cb04a8afdaab7,6122b30c093c9468c3ce3792c36fb5d70955848dedf5da7992e701c9c4f7c9d3,NO,Banana,Banana,Augmented,Original,Banana,Banana
